"_ano_pesquisa","regiao_onde_mora","nivel","modelo_de_trabalho_atual","qtd_respondentes"
"2024","Sudeste","Júnior","Modelo 100% presencial","123"
"2024","Sudeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","101"
"2024","Nordeste","Sênior","Modelo 100% remoto","98"
"2024","Sudeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","97"
"2024","Sudeste","Pleno","Modelo 100% presencial","93"
"2024","Nordeste","Pleno","Modelo 100% remoto","90"
"2024","Sudeste",,"Modelo 100% presencial","84"
"2024","Sul",,"Modelo 100% remoto","75"
"2024","Nordeste",,,"69"
"2024","Sul","Pleno","Modelo 100% presencial","67"
"2024","Sul","Júnior","Modelo 100% presencial","63"
"2024","Sul","Júnior","Modelo 100% remoto","60"
"2024","Sul","Pleno","Modelo híbrido com dias fixos de trabalho presencial","54"
"2024","Centro-oeste","Sênior","Modelo 100% remoto","51"
"2024","Sudeste","Sênior","Modelo 100% presencial","49"
"2024","Sul","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","49"
"2024","Nordeste","Júnior","Modelo 100% remoto","48"
"2024","Sul",,,"42"
"2024","Sul",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","41"
"2024","Sul","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","41"
"2024","Centro-oeste","Júnior","Modelo 100% presencial","40"
"2024","Sul","Sênior","Modelo 100% presencial","38"
"2024","Nordeste","Júnior","Modelo 100% presencial","37"
"2024","Sul","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","36"
"2024","Sul","Sênior","Modelo híbrido com dias fixos de trabalho presencial","36"
"2024","Centro-oeste","Pleno","Modelo 100% remoto","34"
"2024","Centro-oeste",,,"32"
"2024","Nordeste","Pleno","Modelo 100% presencial","31"
"2024","Sul",,"Modelo 100% presencial","30"
"2024","Centro-oeste","Pleno","Modelo 100% presencial","29"
"2024","Nordeste",,"Modelo 100% presencial","28"
"2024","Centro-oeste",,"Modelo 100% presencial","25"
"2024","Sul","Júnior","Modelo híbrido com dias fixos de trabalho presencial","24"
"2024",,"Sênior","Modelo 100% remoto","23"
"2024","Sul",,"Modelo híbrido com dias fixos de trabalho presencial","21"
"2024","Centro-oeste","Júnior","Modelo 100% remoto","21"
"2024","Nordeste",,"Modelo 100% remoto","20"
"2024",,,"Modelo 100% remoto","19"
"2024",,"Pleno","Modelo 100% remoto","16"
"2024",,"Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","16"
"2024","Centro-oeste",,"Modelo 100% remoto","16"
"2024","Centro-oeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","15"
"2024","Nordeste","Sênior","Modelo 100% presencial","15"
"2024","Nordeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","15"
"2024","Norte","Sênior","Modelo 100% remoto","15"
"2024","Centro-oeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","14"
"2024","Centro-oeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","14"
"2024","Nordeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","13"
"2024","Nordeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","12"
"2024","Centro-oeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","12"
"2024",,,,"12"
"2024","Nordeste",,"Modelo híbrido com dias fixos de trabalho presencial","10"
"2024","Centro-oeste","Sênior","Modelo 100% presencial","10"
"2024",,,"Modelo híbrido com dias fixos de trabalho presencial","9"
"2024",,"Júnior","Modelo 100% remoto","9"
"2024","Nordeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","8"
"2024","Nordeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","8"
"2024","Nordeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","8"
"2024","Norte","Júnior","Modelo 100% presencial","8"
"2024",,"Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","7"
"2024","Norte","Júnior","Modelo 100% remoto","7"
"2024","Norte",,,"7"
"2024",,"Sênior","Modelo híbrido com dias fixos de trabalho presencial","7"
"2024","Centro-oeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","6"
"2024",,"Pleno","Modelo híbrido com dias fixos de trabalho presencial","6"
"2024","Nordeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2024","Norte","Pleno","Modelo 100% remoto","5"
"2024",,,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2024","Norte","Pleno","Modelo 100% presencial","5"
"2024","Centro-oeste",,"Modelo híbrido com dias fixos de trabalho presencial","5"
"2024",,"Júnior","Modelo 100% presencial","4"
"2024","Centro-oeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2024","Norte","Pleno","Modelo híbrido com dias fixos de trabalho presencial","4"
"2024","Centro-oeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2024","Norte",,"Modelo 100% presencial","4"
"2024","Norte",,"Modelo 100% remoto","3"
"2024",,"Sênior","Modelo 100% presencial","3"
"2024",,"Pleno","Modelo 100% presencial","2"
"2024",,,"Modelo 100% presencial","2"
"2024","Norte","Sênior","Modelo 100% presencial","2"
"2024",,"Júnior","Modelo híbrido com dias fixos de trabalho presencial","2"
"2024","Norte","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Norte","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Norte","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Norte","Sênior","Modelo híbrido com dias fixos de trabalho presencial","1"
"2025","Sudeste","Sênior","Modelo 100% remoto","241"
"2025","Sudeste","Pleno","Modelo 100% remoto","165"
"2025","Sudeste",,"Modelo 100% remoto","153"
"2025","Sudeste",,,"146"
"2025","Sudeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","129"
"2025","Sudeste",,"Modelo híbrido com dias fixos de trabalho presencial","118"
"2025","Sudeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","118"
"2025","Sudeste","Especialista/Staff+","Modelo 100% remoto","115"
"2025","Sudeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","109"
"2025","Sudeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","104"
"2025","Sudeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","101"
"2025","Sudeste","Júnior","Modelo 100% presencial","100"
"2025","Sudeste","Pleno","Modelo 100% presencial","86"
"2025","Sudeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","81"
"2025","Sul","Sênior","Modelo 100% remoto","78"
"2025","Sudeste",,"Modelo 100% presencial","78"
"2025","Sudeste","Júnior","Modelo 100% remoto","71"
"2025","Sudeste","Sênior","Modelo 100% presencial","66"
"2025","Nordeste","Sênior","Modelo 100% remoto","63"
"2025","Sul","Pleno","Modelo 100% remoto","61"
"2025","Sudeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","60"
"2025","Sudeste","Especialista/Staff+","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","60"
"2025","Nordeste","Pleno","Modelo 100% remoto","56"
"2025","Nordeste",,,"51"
"2025","Sudeste","Especialista/Staff+","Modelo híbrido com dias fixos de trabalho presencial","49"
"2025","Sul",,"Modelo 100% remoto","38"
"2025","Sul","Especialista/Staff+","Modelo 100% remoto","38"
"2025","Sul","Pleno","Modelo 100% presencial","36"
"2025","Sul","Júnior","Modelo 100% presencial","35"
"2025","Sul",,,"30"
"2025","Nordeste","Júnior","Modelo 100% remoto","29"
"2025","Centro-oeste","Sênior","Modelo 100% remoto","28"
"2025","Sul",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","27"
"2025","Nordeste","Júnior","Modelo 100% presencial","27"
"2025","Centro-oeste",,"Modelo 100% presencial","25"
"2025","Nordeste","Pleno","Modelo 100% presencial","24"
"2025","Sul","Júnior","Modelo 100% remoto","23"
"2025","Sul","Sênior","Modelo 100% presencial","22"
"2025","Centro-oeste","Pleno","Modelo 100% presencial","21"
"2025","Nordeste",,"Modelo 100% presencial","21"
"2025","Centro-oeste","Júnior","Modelo 100% presencial","21"
"2025","Sudeste","Especialista/Staff+","Modelo 100% presencial","21"
"2025","Sul","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","20"
"2025","Sul","Sênior","Modelo híbrido com dias fixos de trabalho presencial","20"
"2025","Sul","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","20"
"2025",,,,"18"
"2025","Sul","Pleno","Modelo híbrido com dias fixos de trabalho presencial","18"
"2025","Sul",,"Modelo 100% presencial","17"
"2025","Centro-oeste","Pleno","Modelo 100% remoto","17"
"2025","Nordeste",,"Modelo 100% remoto","16"
"2025","Centro-oeste","Sênior","Modelo 100% presencial","15"
"2025","Sul","Júnior","Modelo híbrido com dias fixos de trabalho presencial","15"
"2025","Sul",,"Modelo híbrido com dias fixos de trabalho presencial","15"
"2025",,"Sênior","Modelo híbrido com dias fixos de trabalho presencial","14"
"2025","Nordeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","14"
"2025","Nordeste","Sênior","Modelo 100% presencial","13"
"2025","Nordeste",,"Modelo híbrido com dias fixos de trabalho presencial","12"
"2025",,,"Modelo 100% presencial","12"
"2025",,,"Modelo 100% remoto","12"
"2025","Norte",,,"12"
"2025","Centro-oeste",,"Modelo 100% remoto","11"
"2025",,"Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","11"
"2025","Sul","Especialista/Staff+","Modelo híbrido com dias fixos de trabalho presencial","10"
"2025","Centro-oeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","10"
"2025","Centro-oeste",,,"10"
"2025","Nordeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","10"
"2025","Sul","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","9"
"2025","Centro-oeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","9"
"2025","Norte","Sênior","Modelo 100% remoto","9"
"2025","Centro-oeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","9"
"2025","Centro-oeste","Especialista/Staff+","Modelo 100% remoto","9"
"2025","Nordeste","Especialista/Staff+","Modelo 100% remoto","9"
"2025","Centro-oeste","Júnior","Modelo 100% remoto","8"
"2025","Centro-oeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","8"
"2025","Centro-oeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","8"
"2025","Nordeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","8"
"2025",,,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","7"
"2025",,"Sênior","Modelo 100% remoto","7"
"2025","Sul","Especialista/Staff+","Modelo 100% presencial","7"
"2025","Nordeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","6"
"2025",,"Especialista/Staff+","Modelo 100% remoto","6"
"2025","Centro-oeste",,"Modelo híbrido com dias fixos de trabalho presencial","6"
"2025",,"Pleno","Modelo 100% remoto","6"
