"_ano_pesquisa","situacao_de_trabalho","setor","numero_de_funcionarios","modelo_de_trabalho_atual","qtd_respondentes"
"2023","Empregado (CLT)","Filantropia/ONG's","de 101 a 500","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Varejo","de 11 a 50","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Seguros ou Previdência","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","5"
"2023","Servidor Público","Educação","Acima de 3.000","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Área da Saúde","de 1.001 a 3.000","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo 100% presencial","5"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 11 a 50","Modelo 100% remoto","5"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Finanças ou Bancos","de 101 a 500","Modelo 100% remoto","5"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Área de Consultoria","de 101 a 500","Modelo 100% remoto","5"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 6 a 10","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Setor Imobiliário/ Construção Civil","de 1.001 a 3.000","Modelo 100% remoto","5"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 51 a 100","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Indústria","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2023","Empregado (CLT)","Setor Público","Acima de 3.000","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Agronegócios","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","5"
"2023","Estagiário","Tecnologia/Fábrica de Software","de 11 a 50","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Outra Opção","de 51 a 100","Modelo 100% remoto","5"
"2023","Empregado (CLT)","Outra Opção","de 51 a 100","Modelo 100% presencial","5"
"2023","Empregado (CLT)","Área de Consultoria","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","5"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo 100% remoto","4"
"2023","Servidor Público","Educação","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Empregado (CLT)","Outra Opção","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Empregado (CLT)","Outra Opção","de 11 a 50","Modelo 100% remoto","4"
"2023","Empreendedor ou Empregado (CNPJ)","Educação","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Empregado (CLT)","Setor de Energia","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Empregado (CLT)","Área de Consultoria","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 501 a 1.000","Modelo 100% remoto","4"
"2023","Empregado (CLT)","Educação","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 6 a 10","Modelo 100% remoto","4"
"2023","Servidor Público","Setor Público","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Freelancer","Educação","de 11 a 50","Modelo 100% remoto","4"
"2023","Empreendedor ou Empregado (CNPJ)","Área da Saúde","de 51 a 100","Modelo 100% remoto","4"
"2023","Empregado (CLT)","Entretenimento ou Esportes","de 101 a 500","Modelo 100% remoto","4"
"2023","Estagiário","Finanças ou Bancos","Acima de 3.000","Modelo 100% remoto","4"
"2023","Empreendedor ou Empregado (CNPJ)","Outra Opção","de 51 a 100","Modelo 100% remoto","4"
"2023","Empregado (CLT)","Área da Saúde","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Empregado (CLT)","Setor Alimentício","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Empregado (CLT)","Outra Opção","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","4"
"2023","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Indústria","Acima de 3.000","Modelo 100% remoto","4"
"2023","Empregado (CLT)","Outra Opção","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","4"
"2023","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Entretenimento ou Esportes","de 51 a 100","Modelo 100% remoto","4"
