"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","Branca","Sim","3"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","Parda","Não","3"
"2023","DBA/Administrador de Banco de Dados","Pleno","Masculino","Branca","Não","3"
"2023","Estatístico","Júnior","Masculino","Branca","Não","3"
"2023","Analista de Suporte/Analista Técnico","Sênior","Feminino","Parda","Não","3"
"2023","Outra Opção","Sênior","Masculino","Preta","Não","3"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Branca","Sim","3"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","Feminino","Preta","Não","3"
"2023","Outras Engenharias (não inclui dev)","Júnior","Masculino","Branca","Não","3"
"2023","Professor/Pesquisador","Júnior","Masculino","Branca","Não","3"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Branca","Sim","3"
"2023","Cientista de Dados/Data Scientist","Pleno","Masculino","Branca","Sim","3"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Parda","Sim","3"
"2023",,,"Masculino","Prefiro não informar","Não","3"
"2023","Analytics Engineer","Júnior","Feminino","Preta","Não","3"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Prefiro não informar","Não","3"
"2023","Estatístico","Pleno","Masculino","Branca","Não","3"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Prefiro não informar","Prefiro não informar","2"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","Preta","Não","2"
"2023","Analytics Engineer","Júnior","Feminino","Branca","Não","2"
"2023","Analytics Engineer","Sênior","Feminino","Parda","Não","2"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Outra","Não","2"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Sênior","Feminino","Parda","Não","2"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","Feminino","Branca","Não","2"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Branca","Sim","2"
"2023",,,"Masculino","Branca","Prefiro não informar","2"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Branca","Sim","2"
"2023","Outra Opção","Sênior","Masculino","Parda","Sim","2"
